agency_cd,site_no,datetime,tz_cd,discharge_cfs,151779_00060_cd
USGS,12451000,2021-11-12 00:00:00,PST,945,A
USGS,12451000,2021-11-12 00:15:00,PST,945,A
USGS,12451000,2021-11-12 00:30:00,PST,945,A
USGS,12451000,2021-11-12 00:45:00,PST,945,A
USGS,12451000,2021-11-12 01:00:00,PST,954,A
USGS,12451000,2021-11-12 01:15:00,PST,963,A
USGS,12451000,2021-11-12 01:30:00,PST,954,A
USGS,12451000,2021-11-12 01:45:00,PST,954,A
USGS,12451000,2021-11-12 02:00:00,PST,954,A
USGS,12451000,2021-11-12 02:15:00,PST,980,A
USGS,12451000,2021-11-12 02:30:00,PST,963,A
USGS,12451000,2021-11-12 02:45:00,PST,971,A
USGS,12451000,2021-11-12 03:00:00,PST,980,A
USGS,12451000,2021-11-12 03:15:00,PST,998,A
USGS,12451000,2021-11-12 03:30:00,PST,980,A
USGS,12451000,2021-11-12 03:45:00,PST,998,A
USGS,12451000,2021-11-12 04:00:00,PST,998,A
USGS,12451000,2021-11-12 04:15:00,PST,1010,A
USGS,12451000,2021-11-12 04:30:00,PST,1020,A
USGS,12451000,2021-11-12 04:45:00,PST,1040,A
USGS,12451000,2021-11-12 05:00:00,PST,1060,A
USGS,12451000,2021-11-12 05:15:00,PST,1060,A
USGS,12451000,2021-11-12 05:30:00,PST,1070,A
USGS,12451000,2021-11-12 05:45:00,PST,1100,A
USGS,12451000,2021-11-12 06:00:00,PST,1110,A
USGS,12451000,2021-11-12 06:15:00,PST,1120,A
USGS,12451000,2021-11-12 06:30:00,PST,1160,A
USGS,12451000,2021-11-12 06:45:00,PST,1150,A
USGS,12451000,2021-11-12 07:00:00,PST,1140,A
USGS,12451000,2021-11-12 07:15:00,PST,1200,A
USGS,12451000,2021-11-12 07:30:00,PST,1200,A
USGS,12451000,2021-11-12 07:45:00,PST,1270,A
USGS,12451000,2021-11-12 08:00:00,PST,1290,A
USGS,12451000,2021-11-12 08:15:00,PST,1310,A
USGS,12451000,2021-11-12 08:30:00,PST,1390,A
USGS,12451000,2021-11-12 08:45:00,PST,1460,A
USGS,12451000,2021-11-12 09:00:00,PST,1550,A
USGS,12451000,2021-11-12 09:15:00,PST,1680,A
USGS,12451000,2021-11-12 09:30:00,PST,1770,A
USGS,12451000,2021-11-12 09:45:00,PST,1910,A
USGS,12451000,2021-11-12 10:00:00,PST,2000,A
USGS,12451000,2021-11-12 10:15:00,PST,2160,A
USGS,12451000,2021-11-12 10:30:00,PST,2250,A
USGS,12451000,2021-11-12 10:45:00,PST,2340,A
USGS,12451000,2021-11-12 11:00:00,PST,2510,A
USGS,12451000,2021-11-12 11:15:00,PST,2580,A
USGS,12451000,2021-11-12 11:30:00,PST,2640,A
USGS,12451000,2021-11-12 11:45:00,PST,2860,A
USGS,12451000,2021-11-12 12:00:00,PST,3000,A
USGS,12451000,2021-11-12 12:15:00,PST,2840,A
USGS,12451000,2021-11-12 12:30:00,PST,3100,A
USGS,12451000,2021-11-12 12:45:00,PST,3220,A
USGS,12451000,2021-11-12 13:00:00,PST,3140,A
USGS,12451000,2021-11-12 13:15:00,PST,3530,A
USGS,12451000,2021-11-12 13:30:00,PST,3610,A
USGS,12451000,2021-11-12 13:45:00,PST,3660,A
USGS,12451000,2021-11-12 14:00:00,PST,3720,A
USGS,12451000,2021-11-12 14:15:00,PST,3820,A
USGS,12451000,2021-11-12 14:30:00,PST,3890,A
USGS,12451000,2021-11-12 14:45:00,PST,4030,A
USGS,12451000,2021-11-12 15:00:00,PST,4050,A
USGS,12451000,2021-11-12 15:15:00,PST,4110,A
USGS,12451000,2021-11-12 15:30:00,PST,4190,A
USGS,12451000,2021-11-12 15:45:00,PST,4270,A
USGS,12451000,2021-11-12 16:00:00,PST,4430,A
USGS,12451000,2021-11-12 16:15:00,PST,4470,A
USGS,12451000,2021-11-12 16:30:00,PST,4430,A
USGS,12451000,2021-11-12 16:45:00,PST,4540,A
USGS,12451000,2021-11-12 17:00:00,PST,4540,A
USGS,12451000,2021-11-12 17:15:00,PST,4600,A
USGS,12451000,2021-11-12 17:30:00,PST,4510,A
USGS,12451000,2021-11-12 17:45:00,PST,4540,A
USGS,12451000,2021-11-12 18:00:00,PST,4600,A
USGS,12451000,2021-11-12 18:15:00,PST,4600,A
USGS,12451000,2021-11-12 18:30:00,PST,4640,A
USGS,12451000,2021-11-12 18:45:00,PST,4640,A
USGS,12451000,2021-11-12 19:00:00,PST,4490,A
USGS,12451000,2021-11-12 19:15:00,PST,4410,A
USGS,12451000,2021-11-12 19:30:00,PST,4450,A
USGS,12451000,2021-11-12 19:45:00,PST,4250,A
USGS,12451000,2021-11-12 20:00:00,PST,4330,A
USGS,12451000,2021-11-12 20:15:00,PST,4330,A
USGS,12451000,2021-11-12 20:30:00,PST,4210,A
USGS,12451000,2021-11-12 20:45:00,PST,4170,A
USGS,12451000,2021-11-12 21:00:00,PST,4070,A
USGS,12451000,2021-11-12 21:15:00,PST,3990,A
USGS,12451000,2021-11-12 21:30:00,PST,4030,A
USGS,12451000,2021-11-12 21:45:00,PST,3990,A
USGS,12451000,2021-11-12 22:00:00,PST,3860,A
USGS,12451000,2021-11-12 22:15:00,PST,3860,A
USGS,12451000,2021-11-12 22:30:00,PST,3840,A
USGS,12451000,2021-11-12 22:45:00,PST,3760,A
USGS,12451000,2021-11-12 23:00:00,PST,3700,A
USGS,12451000,2021-11-12 23:15:00,PST,3660,A
USGS,12451000,2021-11-12 23:30:00,PST,3700,A
USGS,12451000,2021-11-12 23:45:00,PST,3650,A
USGS,12451000,2021-11-13 00:00:00,PST,3700,A
USGS,12451000,2021-11-13 00:15:00,PST,3590,A
USGS,12451000,2021-11-13 00:30:00,PST,3570,A
USGS,12451000,2021-11-13 00:45:00,PST,3590,A
USGS,12451000,2021-11-13 01:00:00,PST,3530,A
USGS,12451000,2021-11-13 01:15:00,PST,3570,A
USGS,12451000,2021-11-13 01:30:00,PST,3500,A
USGS,12451000,2021-11-13 01:45:00,PST,3500,A
USGS,12451000,2021-11-13 02:00:00,PST,3570,A
USGS,12451000,2021-11-13 02:15:00,PST,3500,A
USGS,12451000,2021-11-13 02:30:00,PST,3420,A
USGS,12451000,2021-11-13 02:45:00,PST,3400,A
USGS,12451000,2021-11-13 03:00:00,PST,3330,A
USGS,12451000,2021-11-13 03:15:00,PST,3280,A
USGS,12451000,2021-11-13 03:30:00,PST,3280,A
USGS,12451000,2021-11-13 03:45:00,PST,3150,A
USGS,12451000,2021-11-13 04:00:00,PST,3210,A
USGS,12451000,2021-11-13 04:15:00,PST,3260,A
USGS,12451000,2021-11-13 04:30:00,PST,3050,A
USGS,12451000,2021-11-13 04:45:00,PST,3010,A
USGS,12451000,2021-11-13 05:00:00,PST,3010,A
USGS,12451000,2021-11-13 05:15:00,PST,3080,A
USGS,12451000,2021-11-13 05:30:00,PST,3150,A
USGS,12451000,2021-11-13 05:45:00,PST,3100,A
USGS,12451000,2021-11-13 06:00:00,PST,3080,A
USGS,12451000,2021-11-13 06:15:00,PST,3050,A
USGS,12451000,2021-11-13 06:30:00,PST,3050,A
USGS,12451000,2021-11-13 06:45:00,PST,3030,A
USGS,12451000,2021-11-13 07:00:00,PST,2980,A
USGS,12451000,2021-11-13 07:15:00,PST,3050,A
USGS,12451000,2021-11-13 07:30:00,PST,2930,A
USGS,12451000,2021-11-13 07:45:00,PST,2830,A
USGS,12451000,2021-11-13 08:00:00,PST,2980,A
USGS,12451000,2021-11-13 08:15:00,PST,2880,A
USGS,12451000,2021-11-13 08:30:00,PST,2910,A
USGS,12451000,2021-11-13 08:45:00,PST,2880,A
USGS,12451000,2021-11-13 09:00:00,PST,2860,A
USGS,12451000,2021-11-13 09:15:00,PST,2880,A
USGS,12451000,2021-11-13 09:30:00,PST,2860,A
USGS,12451000,2021-11-13 09:45:00,PST,2790,A
USGS,12451000,2021-11-13 10:00:00,PST,2840,A
USGS,12451000,2021-11-13 10:15:00,PST,2740,A
USGS,12451000,2021-11-13 10:30:00,PST,2830,A
USGS,12451000,2021-11-13 10:45:00,PST,2840,A
USGS,12451000,2021-11-13 11:00:00,PST,2780,A
USGS,12451000,2021-11-13 11:15:00,PST,2780,A
USGS,12451000,2021-11-13 11:30:00,PST,2640,A
USGS,12451000,2021-11-13 11:45:00,PST,2640,A
USGS,12451000,2021-11-13 12:00:00,PST,2640,A
USGS,12451000,2021-11-13 12:15:00,PST,2640,A
USGS,12451000,2021-11-13 12:30:00,PST,2640,A
USGS,12451000,2021-11-13 12:45:00,PST,2690,A
USGS,12451000,2021-11-13 13:00:00,PST,2660,A
USGS,12451000,2021-11-13 13:15:00,PST,2660,A
USGS,12451000,2021-11-13 13:30:00,PST,2610,A
USGS,12451000,2021-11-13 13:45:00,PST,2610,A
USGS,12451000,2021-11-13 14:00:00,PST,2590,A
USGS,12451000,2021-11-13 14:15:00,PST,2550,A
USGS,12451000,2021-11-13 14:30:00,PST,2610,A
USGS,12451000,2021-11-13 14:45:00,PST,2680,A
USGS,12451000,2021-11-13 15:00:00,PST,2640,A
USGS,12451000,2021-11-13 15:15:00,PST,2560,A
USGS,12451000,2021-11-13 15:30:00,PST,2580,A
USGS,12451000,2021-11-13 15:45:00,PST,2550,A
USGS,12451000,2021-11-13 16:00:00,PST,2560,A
USGS,12451000,2021-11-13 16:15:00,PST,2680,A
USGS,12451000,2021-11-13 16:30:00,PST,2580,A
USGS,12451000,2021-11-13 16:45:00,PST,2530,A
USGS,12451000,2021-11-13 17:00:00,PST,2550,A
USGS,12451000,2021-11-13 17:15:00,PST,2630,A
USGS,12451000,2021-11-13 17:30:00,PST,2500,A
USGS,12451000,2021-11-13 17:45:00,PST,2590,A
USGS,12451000,2021-11-13 18:00:00,PST,2610,A
USGS,12451000,2021-11-13 18:15:00,PST,2590,A
USGS,12451000,2021-11-13 18:30:00,PST,2550,A
USGS,12451000,2021-11-13 18:45:00,PST,2590,A
USGS,12451000,2021-11-13 19:00:00,PST,2590,A
USGS,12451000,2021-11-13 19:15:00,PST,2590,A
USGS,12451000,2021-11-13 19:30:00,PST,2610,A
USGS,12451000,2021-11-13 19:45:00,PST,2580,A
USGS,12451000,2021-11-13 20:00:00,PST,2690,A
USGS,12451000,2021-11-13 20:15:00,PST,2640,A
USGS,12451000,2021-11-13 20:30:00,PST,2530,A
USGS,12451000,2021-11-13 20:45:00,PST,2560,A
USGS,12451000,2021-11-13 21:00:00,PST,2630,A
USGS,12451000,2021-11-13 21:15:00,PST,2470,A
USGS,12451000,2021-11-13 21:30:00,PST,2580,A
USGS,12451000,2021-11-13 21:45:00,PST,2610,A
USGS,12451000,2021-11-13 22:00:00,PST,2560,A
USGS,12451000,2021-11-13 22:15:00,PST,2480,A
USGS,12451000,2021-11-13 22:30:00,PST,2660,A
USGS,12451000,2021-11-13 22:45:00,PST,2590,A
USGS,12451000,2021-11-13 23:00:00,PST,2550,A
USGS,12451000,2021-11-13 23:15:00,PST,2550,A
USGS,12451000,2021-11-13 23:30:00,PST,2550,A
USGS,12451000,2021-11-13 23:45:00,PST,2610,A
USGS,12451000,2021-11-14 00:00:00,PST,2530,A
USGS,12451000,2021-11-14 00:15:00,PST,2500,A
USGS,12451000,2021-11-14 00:30:00,PST,2470,A
USGS,12451000,2021-11-14 00:45:00,PST,2470,A
USGS,12451000,2021-11-14 01:00:00,PST,2530,A
USGS,12451000,2021-11-14 01:15:00,PST,2590,A
USGS,12451000,2021-11-14 01:30:00,PST,2560,A
USGS,12451000,2021-11-14 01:45:00,PST,2500,A
USGS,12451000,2021-11-14 02:00:00,PST,2550,A
USGS,12451000,2021-11-14 02:15:00,PST,2580,A
USGS,12451000,2021-11-14 02:30:00,PST,2530,A
USGS,12451000,2021-11-14 02:45:00,PST,2560,A
USGS,12451000,2021-11-14 03:00:00,PST,2580,A
USGS,12451000,2021-11-14 03:15:00,PST,2580,A
USGS,12451000,2021-11-14 03:30:00,PST,2510,A
USGS,12451000,2021-11-14 03:45:00,PST,2660,A
USGS,12451000,2021-11-14 04:00:00,PST,2760,A
USGS,12451000,2021-11-14 04:15:00,PST,2640,A
USGS,12451000,2021-11-14 04:30:00,PST,2660,A
USGS,12451000,2021-11-14 04:45:00,PST,2730,A
USGS,12451000,2021-11-14 05:00:00,PST,2890,A
USGS,12451000,2021-11-14 05:15:00,PST,2810,A
USGS,12451000,2021-11-14 05:30:00,PST,3000,A
USGS,12451000,2021-11-14 05:45:00,PST,3170,A
USGS,12451000,2021-11-14 06:00:00,PST,3210,A
USGS,12451000,2021-11-14 06:15:00,PST,3330,A
USGS,12451000,2021-11-14 06:30:00,PST,3570,A
USGS,12451000,2021-11-14 06:45:00,PST,3720,A
USGS,12451000,2021-11-14 07:00:00,PST,3720,A
USGS,12451000,2021-11-14 07:15:00,PST,3860,A
USGS,12451000,2021-11-14 07:30:00,PST,4010,A
USGS,12451000,2021-11-14 07:45:00,PST,4050,A
USGS,12451000,2021-11-14 08:00:00,PST,4110,A
USGS,12451000,2021-11-14 08:15:00,PST,4450,A
USGS,12451000,2021-11-14 08:30:00,PST,4580,A
USGS,12451000,2021-11-14 08:45:00,PST,4660,A
USGS,12451000,2021-11-14 09:00:00,PST,4720,A
USGS,12451000,2021-11-14 09:15:00,PST,4910,A
USGS,12451000,2021-11-14 09:30:00,PST,4850,A
USGS,12451000,2021-11-14 09:45:00,PST,5070,A
USGS,12451000,2021-11-14 10:00:00,PST,4960,A
USGS,12451000,2021-11-14 10:15:00,PST,5270,A
USGS,12451000,2021-11-14 10:30:00,PST,5410,A
USGS,12451000,2021-11-14 10:45:00,PST,5440,A
USGS,12451000,2021-11-14 11:00:00,PST,5500,A
USGS,12451000,2021-11-14 11:15:00,PST,5530,A
USGS,12451000,2021-11-14 11:30:00,PST,5590,A
USGS,12451000,2021-11-14 11:45:00,PST,5690,A
USGS,12451000,2021-11-14 12:00:00,PST,5640,A
USGS,12451000,2021-11-14 12:15:00,PST,5760,A
USGS,12451000,2021-11-14 12:30:00,PST,5930,A
USGS,12451000,2021-11-14 12:45:00,PST,6000,A
USGS,12451000,2021-11-14 13:00:00,PST,6150,A
USGS,12451000,2021-11-14 13:15:00,PST,6130,A
USGS,12451000,2021-11-14 13:30:00,PST,6200,A
USGS,12451000,2021-11-14 13:45:00,PST,6240,A
USGS,12451000,2021-11-14 14:00:00,PST,6310,A
USGS,12451000,2021-11-14 14:15:00,PST,6410,A
USGS,12451000,2021-11-14 14:30:00,PST,6570,A
USGS,12451000,2021-11-14 14:45:00,PST,6610,A
USGS,12451000,2021-11-14 15:00:00,PST,6630,A
USGS,12451000,2021-11-14 15:15:00,PST,6760,A
USGS,12451000,2021-11-14 15:30:00,PST,7010,A
USGS,12451000,2021-11-14 15:45:00,PST,7120,A
USGS,12451000,2021-11-14 16:00:00,PST,6970,A
USGS,12451000,2021-11-14 16:15:00,PST,7370,A
USGS,12451000,2021-11-14 16:30:00,PST,7450,A
USGS,12451000,2021-11-14 16:45:00,PST,7630,A
USGS,12451000,2021-11-14 17:00:00,PST,7780,A
USGS,12451000,2021-11-14 17:15:00,PST,7660,A
USGS,12451000,2021-11-14 17:30:00,PST,8040,A
USGS,12451000,2021-11-14 17:45:00,PST,8020,A
USGS,12451000,2021-11-14 18:00:00,PST,8100,A
USGS,12451000,2021-11-14 18:15:00,PST,8460,A
USGS,12451000,2021-11-14 18:30:00,PST,8480,A
USGS,12451000,2021-11-14 18:45:00,PST,8740,A
USGS,12451000,2021-11-14 19:00:00,PST,9010,A
USGS,12451000,2021-11-14 19:15:00,PST,9090,A
USGS,12451000,2021-11-14 19:30:00,PST,9340,A
USGS,12451000,2021-11-14 19:45:00,PST,9340,A
USGS,12451000,2021-11-14 20:00:00,PST,9480,A
USGS,12451000,2021-11-14 20:15:00,PST,9650,A
USGS,12451000,2021-11-14 20:30:00,PST,9970,A
USGS,12451000,2021-11-14 20:45:00,PST,10100,A
USGS,12451000,2021-11-14 21:00:00,PST,10500,A
USGS,12451000,2021-11-14 21:15:00,PST,10600,A
USGS,12451000,2021-11-14 21:30:00,PST,10800,A
USGS,12451000,2021-11-14 21:45:00,PST,10900,A
USGS,12451000,2021-11-14 22:00:00,PST,11300,A
USGS,12451000,2021-11-14 22:15:00,PST,11400,A
USGS,12451000,2021-11-14 22:30:00,PST,11500,A
USGS,12451000,2021-11-14 22:45:00,PST,11800,A
USGS,12451000,2021-11-14 23:00:00,PST,12100,A
USGS,12451000,2021-11-14 23:15:00,PST,12300,A
USGS,12451000,2021-11-14 23:30:00,PST,12600,A
USGS,12451000,2021-11-14 23:45:00,PST,12800,A
USGS,12451000,2021-11-15 00:00:00,PST,13000,A
USGS,12451000,2021-11-15 00:15:00,PST,13300,A
USGS,12451000,2021-11-15 00:30:00,PST,13500,A
USGS,12451000,2021-11-15 00:45:00,PST,13400,A
USGS,12451000,2021-11-15 01:00:00,PST,13900,A
USGS,12451000,2021-11-15 01:15:00,PST,14000,A
USGS,12451000,2021-11-15 01:30:00,PST,14100,A
USGS,12451000,2021-11-15 01:45:00,PST,14300,A
USGS,12451000,2021-11-15 02:00:00,PST,14400,A
USGS,12451000,2021-11-15 02:15:00,PST,14200,A
USGS,12451000,2021-11-15 02:30:00,PST,14700,A
USGS,12451000,2021-11-15 02:45:00,PST,14600,A
USGS,12451000,2021-11-15 03:00:00,PST,14700,A
USGS,12451000,2021-11-15 03:15:00,PST,14700,A
USGS,12451000,2021-11-15 03:30:00,PST,14600,A
USGS,12451000,2021-11-15 03:45:00,PST,14500,A
USGS,12451000,2021-11-15 04:00:00,PST,14600,A
USGS,12451000,2021-11-15 04:15:00,PST,14400,A
USGS,12451000,2021-11-15 04:30:00,PST,14600,A
USGS,12451000,2021-11-15 04:45:00,PST,14500,A
USGS,12451000,2021-11-15 05:00:00,PST,14400,A
USGS,12451000,2021-11-15 05:15:00,PST,14000,A
USGS,12451000,2021-11-15 05:30:00,PST,14000,A
USGS,12451000,2021-11-15 05:45:00,PST,13700,A
USGS,12451000,2021-11-15 06:00:00,PST,13600,A
USGS,12451000,2021-11-15 06:15:00,PST,13500,A
USGS,12451000,2021-11-15 06:30:00,PST,13300,A
USGS,12451000,2021-11-15 06:45:00,PST,13300,A
USGS,12451000,2021-11-15 07:00:00,PST,13200,A
USGS,12451000,2021-11-15 07:15:00,PST,13000,A
USGS,12451000,2021-11-15 07:30:00,PST,13000,A
USGS,12451000,2021-11-15 07:45:00,PST,12900,A
USGS,12451000,2021-11-15 08:00:00,PST,12900,A
USGS,12451000,2021-11-15 08:15:00,PST,12700,A
USGS,12451000,2021-11-15 08:30:00,PST,12700,A
USGS,12451000,2021-11-15 08:45:00,PST,12600,A
USGS,12451000,2021-11-15 09:00:00,PST,12500,A
USGS,12451000,2021-11-15 09:15:00,PST,12400,A
USGS,12451000,2021-11-15 09:30:00,PST,12300,A
USGS,12451000,2021-11-15 09:45:00,PST,12100,A
USGS,12451000,2021-11-15 10:00:00,PST,11900,A
USGS,12451000,2021-11-15 10:15:00,PST,11900,A
USGS,12451000,2021-11-15 10:30:00,PST,11900,A
USGS,12451000,2021-11-15 10:45:00,PST,11600,A
USGS,12451000,2021-11-15 11:00:00,PST,11600,A
USGS,12451000,2021-11-15 11:15:00,PST,11700,A
USGS,12451000,2021-11-15 11:30:00,PST,11400,A
USGS,12451000,2021-11-15 11:45:00,PST,11300,A
USGS,12451000,2021-11-15 12:00:00,PST,11100,A
USGS,12451000,2021-11-15 12:15:00,PST,11100,A
USGS,12451000,2021-11-15 12:30:00,PST,10900,A
USGS,12451000,2021-11-15 12:45:00,PST,10900,A
USGS,12451000,2021-11-15 13:00:00,PST,10800,A
USGS,12451000,2021-11-15 13:15:00,PST,10600,A
USGS,12451000,2021-11-15 13:30:00,PST,10600,A
USGS,12451000,2021-11-15 13:45:00,PST,10500,A
USGS,12451000,2021-11-15 14:00:00,PST,10500,A
USGS,12451000,2021-11-15 14:15:00,PST,10300,A
USGS,12451000,2021-11-15 14:30:00,PST,10400,A
USGS,12451000,2021-11-15 14:45:00,PST,10300,A
USGS,12451000,2021-11-15 15:00:00,PST,10500,A
USGS,12451000,2021-11-15 15:15:00,PST,10400,A
USGS,12451000,2021-11-15 15:30:00,PST,10600,A
USGS,12451000,2021-11-15 15:45:00,PST,10600,A
USGS,12451000,2021-11-15 16:00:00,PST,10700,A
USGS,12451000,2021-11-15 16:15:00,PST,10900,A
USGS,12451000,2021-11-15 16:30:00,PST,10900,A
USGS,12451000,2021-11-15 16:45:00,PST,11000,A
USGS,12451000,2021-11-15 17:00:00,PST,11000,A
USGS,12451000,2021-11-15 17:15:00,PST,11100,A
USGS,12451000,2021-11-15 17:30:00,PST,11100,A
USGS,12451000,2021-11-15 17:45:00,PST,11100,A
USGS,12451000,2021-11-15 18:00:00,PST,11200,A
USGS,12451000,2021-11-15 18:15:00,PST,11200,A
USGS,12451000,2021-11-15 18:30:00,PST,11000,A
USGS,12451000,2021-11-15 18:45:00,PST,11000,A
USGS,12451000,2021-11-15 19:00:00,PST,10800,A
USGS,12451000,2021-11-15 19:15:00,PST,10700,A
USGS,12451000,2021-11-15 19:30:00,PST,10600,A
USGS,12451000,2021-11-15 19:45:00,PST,10600,A
USGS,12451000,2021-11-15 20:00:00,PST,10400,A
USGS,12451000,2021-11-15 20:15:00,PST,10100,A
USGS,12451000,2021-11-15 20:30:00,PST,9920,A
USGS,12451000,2021-11-15 20:45:00,PST,10100,A
USGS,12451000,2021-11-15 21:00:00,PST,9730,A
USGS,12451000,2021-11-15 21:15:00,PST,9570,A
USGS,12451000,2021-11-15 21:30:00,PST,9690,A
USGS,12451000,2021-11-15 21:45:00,PST,9380,A
USGS,12451000,2021-11-15 22:00:00,PST,9170,A
USGS,12451000,2021-11-15 22:15:00,PST,9130,A
USGS,12451000,2021-11-15 22:30:00,PST,9010,A
USGS,12451000,2021-11-15 22:45:00,PST,9110,A
USGS,12451000,2021-11-15 23:00:00,PST,8840,A
USGS,12451000,2021-11-15 23:15:00,PST,8560,A
